Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	1KM	25-JUN-05 12:31:32PM	User Waypoint	N44.97836 W93.13802	922 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	1MILE	25-JUN-05 12:43:56PM	User Waypoint	N44.97580 W93.13936	910 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2KM	25-JUN-05 12:48:53PM	User Waypoint	N44.97807 W93.14290	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2MILE	25-JUN-05 12:26:20PM	User Waypoint	N44.98167 W93.13930	923 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3KM	25-JUN-05 12:22:55PM	User Waypoint	N44.98343 W93.14021	928 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3MILE	25-JUN-05 12:51:50PM	User Waypoint	N44.97991 W93.14370	916 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	4KM	25-JUN-05 12:39:44PM	User Waypoint	N44.97619 W93.13671	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	FINISH	25-JUN-05 12:54:23PM	User Waypoint	N44.98129 W93.14360	932 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	START	25-JUN-05 12:15:49PM	User Waypoint	N44.98308 W93.14320	941 ft				Symbol & Name	Unknown	Flag, Blue							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	COMO LAKE 5km		0:00:00	1.9 mi	0 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N44.97770 W93.14265		912 ft		100 ft			322° true
Trackpoint	N44.97796 W93.14284		912 ft		107 ft			334° true
Trackpoint	N44.97807 W93.14290		915 ft		43 ft			338° true
Trackpoint	N44.97807 W93.14290		909 ft		1 ft			357° true
Trackpoint	N44.97807 W93.14290		898 ft		0 ft			5° true
Trackpoint	N44.97807 W93.14290		920 ft		0 ft			355° true
Trackpoint	N44.97807 W93.14290		906 ft		0 ft			349° true
Trackpoint	N44.97807 W93.14290		920 ft		0 ft			333° true
Trackpoint	N44.97807 W93.14290		896 ft		0 ft			350° true
Trackpoint	N44.97807 W93.14290		910 ft		0 ft			305° true
Trackpoint	N44.97807 W93.14290		928 ft		1 ft			267° true
Trackpoint	N44.97807 W93.14290		902 ft		0 ft			252° true
Trackpoint	N44.97807 W93.14290		912 ft		0 ft			259° true
Trackpoint	N44.97807 W93.14291		898 ft		0 ft			253° true
Trackpoint	N44.97807 W93.14291		920 ft		0 ft			242° true
Trackpoint	N44.97807 W93.14291		920 ft		0 ft			215° true
Trackpoint	N44.97821 W93.14295		915 ft		51 ft			349° true
Trackpoint	N44.97853 W93.14290		914 ft		116 ft			6° true
Trackpoint	N44.97886 W93.14285		917 ft		124 ft			7° true
Trackpoint	N44.97907 W93.14288		917 ft		75 ft			354° true
Trackpoint	N44.97909 W93.14289		921 ft		11 ft			343° true
Trackpoint	N44.97965 W93.14341		915 ft		243 ft			326° true
Trackpoint	N44.97987 W93.14367		915 ft		104 ft			320° true
Trackpoint	N44.97991 W93.14371		912 ft		18 ft			321° true
Trackpoint	N44.97990 W93.14372		921 ft		2 ft			216° true
Trackpoint	N44.97988 W93.14374		912 ft		10 ft			213° true
Trackpoint	N44.97993 W93.14379		923 ft		23 ft			325° true
Trackpoint	N44.98018 W93.14387		915 ft		94 ft			347° true
Trackpoint	N44.98045 W93.14407		915 ft		110 ft			332° true
Trackpoint	N44.98074 W93.14406		920 ft		107 ft			1° true
Trackpoint	N44.98082 W93.14403		910 ft		31 ft			14° true
Trackpoint	N44.98087 W93.14401		926 ft		19 ft			21° true
Trackpoint	N44.98088 W93.14400		921 ft		5 ft			24° true
Trackpoint	N44.98090 W93.14398		918 ft		9 ft			30° true
Trackpoint	N44.98092 W93.14397		895 ft		5 ft			27° true
Trackpoint	N44.98093 W93.14397		895 ft		5 ft			25° true
Trackpoint	N44.98094 W93.14396		923 ft		5 ft			28° true
Trackpoint	N44.98095 W93.14395		923 ft		5 ft			29° true
Trackpoint	N44.98100 W93.14391		912 ft		19 ft			30° true
Trackpoint	N44.98103 W93.14388		918 ft		14 ft			31° true
